option,cluster_name,recommended_skus
Launch assortment (24 SKUs),Sherried & Sweet,6
Launch assortment (24 SKUs),Classic Smoky-Sweet,5
Launch assortment (24 SKUs),Light & Approachable,5
Launch assortment (24 SKUs),Herbal & Crisp,4
Launch assortment (24 SKUs),Maritime Peat,4
Lean assortment (18 SKUs),Sherried & Sweet,5
Lean assortment (18 SKUs),Classic Smoky-Sweet,4
Lean assortment (18 SKUs),Light & Approachable,3
Lean assortment (18 SKUs),Herbal & Crisp,3
Lean assortment (18 SKUs),Maritime Peat,3
