name,dist_short,color_wyne,color_yellow,color_vpale,color_pale,color_pgold,color_gold,color_ogold,color_fgold,color_bronze,color_pamber,color_amber,color_famber,color_red,color_sherry,nose_aroma,nose_peat,nose_sweet,nose_light,nose_fresh,nose_dry,nose_fruit,nose_grass,nose_sea,nose_sherry,nose_spicy,nose_rich,body_soft,body_med,body_full,body_round,body_smooth,body_light,body_firm,body_oily,pal_full,pal_dry,pal_sherry,pal_big,pal_light,pal_smooth,pal_clean,pal_fruit,pal_grass,pal_smoke,pal_sweet,pal_spice,pal_oil,pal_salt,pal_arome,fin_full,fin_dry,fin_warm,fin_big,fin_light,fin_smooth,fin_clean,fin_fruit,fin_grass,fin_smoke,fin_sweet,fin_spice,fin_oil,fin_salt,fin_arome,fin_ling,fin_long,fin_very,fin_quick,age,dist,score,pct,region,district,islay,midland,spey,east,west,north,lowland,campbell,islands,cluster_id,cluster_name,pc1,pc2
Aberfeldy,Aberfeldy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,nan,2.0,69.0,40.0,HIGH,MIDLAND,0,1,0,0,0,0,0,0,0,0,Classic Smoky-Sweet,0.5672,0.5329
Aberlour,Aberlour,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12.0,4.0,83.0,43.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,1,Sherried & Sweet,0.5943,-1.1907
Ardberg,Ardberg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.0,4.0,85.0,40.0,ISLAY,SOUTH,1,0,0,0,0,0,0,0,0,4,Maritime Peat,0.1366,1.0237
Ardmore,Ardmore,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,2.0,66.0,46.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,3,Herbal & Crisp,-0.3726,-0.286
Auchentoshan,Auchentosh,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10.0,5.0,85.0,40.0,LOW,WEST,0,0,0,0,0,0,1,0,0,3,Herbal & Crisp,-1.1212,0.1194
Aultmore,Aultmore,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,3.0,75.0,40.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,3,Herbal & Crisp,-0.8068,0.3172
Balblair,Balblair,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10.0,3.0,76.0,40.0,HIGH,NORTH,0,0,0,0,0,1,0,0,0,2,Light & Approachable,-0.9884,0.2474
Balmenach,Balmenach,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,nan,3.0,69.0,40.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,1,Sherried & Sweet,-0.3205,-0.6096
Balvenie,Balvenie,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,nan,4.0,85.0,40.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,0,Classic Smoky-Sweet,0.3393,-0.1736
Banff,Banff,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,nan,2.0,66.0,40.0,HIGH,SPEY,0,0,1,0,0,0,0,0,0,0,Classic Smoky-Sweet,0.8242,0.4953
